algo,k,frac,m,seed,center_idx,R,G,B
random,2,0.25,51876.0,4.0,1,173.35108217386139,128.55223569984537,98.66523962421215
lightweight,2,0.5,103752.0,0.0,0,173.10986809978803,128.46608375586777,98.73006070279972
lightweight,2,0.5,103752.0,0.0,1,119.34414319719147,66.44104078293901,56.282417268932974
lightweight,2,0.5,103752.0,1.0,0,173.26117882230113,128.54176910472145,98.70533109846575
lightweight,2,0.5,103752.0,1.0,1,119.26494648025366,66.47971456425131,56.25024581682645
lightweight,2,0.5,103752.0,2.0,0,118.48472522569176,66.0976199901125,56.17689892001793
lightweight,2,0.5,103752.0,2.0,1,173.54565926231754,128.29952281322187,98.35498525555539
lightweight,2,0.5,103752.0,3.0,0,119.12568920305026,66.42613477017765,56.255912924694364
lightweight,2,0.5,103752.0,3.0,1,173.1571988359973,128.35913813586964,98.56819669660642
lightweight,2,0.5,103752.0,4.0,0,120.60806922188837,67.28627613029612,56.642781820497056
lightweight,2,0.5,103752.0,4.0,1,173.14191716594826,128.90460677212602,99.11807271189147
random,2,0.5,103752.0,0.0,0,173.23240821516745,128.31173574248493,98.50031790155396
random,2,0.5,103752.0,0.0,1,118.92494670690182,66.19467899559834,56.10307023615075
random,2,0.5,103752.0,1.0,0,173.33426610898593,128.65891669023415,98.7915990652397
random,2,0.5,103752.0,1.0,1,119.88060925920863,66.90002461100931,56.492821788946884
random,2,0.5,103752.0,2.0,0,173.3621221468228,128.08081431215308,98.26498927763578
random,2,0.5,103752.0,2.0,1,118.32565180824221,66.11166246145251,56.28912251191471
random,2,0.5,103752.0,3.0,0,119.95614587037996,66.77533991738005,56.33026017016394
random,2,0.5,103752.0,3.0,1,173.30277236268392,128.64551555826748,98.79577077039829
random,2,0.5,103752.0,4.0,0,120.27376748514962,67.00539268018959,56.49379978648273
random,2,0.5,103752.0,4.0,1,173.31140566192124,128.69472337513554,98.82683982683979
lightweight,4,0.0025,519.0,0.0,0,193.1980079742608,99.63267329238997,65.02088515129701
lightweight,4,0.0025,519.0,0.0,1,174.7462214227438,135.43297092288975,105.60570897572227
lightweight,4,0.0025,519.0,0.0,2,104.31273632655392,80.25758001134056,74.57908916213799
lightweight,4,0.0025,519.0,0.0,3,18.38476187870313,19.365135793019405,23.47394466553827
lightweight,4,0.0025,519.0,1.0,0,174.33108792870274,137.1291874885338,107.68648604639498
lightweight,4,0.0025,519.0,1.0,1,187.95852456693052,97.13163775689871,65.46755677145268
lightweight,4,0.0025,519.0,1.0,2,57.51250355748364,42.28931390077814,44.314212225541034
lightweight,4,0.0025,519.0,1.0,3,108.8899039073889,94.40634827792572,86.83861906038483
lightweight,4,0.0025,519.0,2.0,0,171.69517000498882,134.2764630131673,105.85932736355784
lightweight,4,0.0025,519.0,2.0,1,100.3182099034295,70.80931173418597,67.42453047264343
lightweight,4,0.0025,519.0,2.0,2,18.094776212167005,18.456264271792477,21.395592471752124
lightweight,4,0.0025,519.0,2.0,3,189.04322447593518,98.70088107136148,64.3754255505503
