algo,k,frac,m,seed,center_idx,longitude,latitude
lightweight,4,0.005,4997.0,1.0,1,-73.99566752585437,40.724356486610155
lightweight,4,0.005,4997.0,1.0,2,-73.92313418841027,40.79630531100794
lightweight,4,0.005,4997.0,1.0,3,-73.97523239202052,40.764197689433445
lightweight,4,0.005,4997.0,2.0,0,-73.96911770122968,40.77087974000606
lightweight,4,0.005,4997.0,2.0,1,-73.95648851713258,40.69233665139865
lightweight,4,0.005,4997.0,2.0,2,-73.99438647564641,40.729821979525134
lightweight,4,0.005,4997.0,2.0,3,-73.91823195697974,40.79661571452803
lightweight,4,0.005,4997.0,3.0,0,-73.97164115762598,40.76903252108145
lightweight,4,0.005,4997.0,3.0,1,-73.92015502349773,40.79622347988882
lightweight,4,0.005,4997.0,3.0,2,-73.95648985273307,40.691985418854465
lightweight,4,0.005,4997.0,3.0,3,-73.99429288562662,40.72700902311817
lightweight,4,0.005,4997.0,4.0,0,-73.97739255850665,40.761764726369464
lightweight,4,0.005,4997.0,4.0,1,-73.99623217755507,40.72331508713958
lightweight,4,0.005,4997.0,4.0,2,-73.92763730463372,40.79436579965478
lightweight,4,0.005,4997.0,4.0,3,-73.9567621272274,40.68958285884821
random,4,0.005,4997.0,0.0,0,-73.97528443065876,40.76424464587939
random,4,0.005,4997.0,0.0,1,-73.92608750498492,40.79607787054216
random,4,0.005,4997.0,0.0,2,-73.95520158998508,40.692041624545816
random,4,0.005,4997.0,0.0,3,-73.99479650999822,40.72600424245211
random,4,0.005,4997.0,1.0,0,-73.97485478456453,40.764790956798784
random,4,0.005,4997.0,1.0,1,-73.95574308394752,40.69227442534252
random,4,0.005,4997.0,1.0,2,-73.92665614328075,40.798553380598136
random,4,0.005,4997.0,1.0,3,-73.99518438268794,40.72512565498418
random,4,0.005,4997.0,2.0,0,-73.95569761271531,40.691326388861384
random,4,0.005,4997.0,2.0,1,-73.99573784125066,40.723463210181336
random,4,0.005,4997.0,2.0,2,-73.92792399482427,40.79418214475287
random,4,0.005,4997.0,2.0,3,-73.9771139745296,40.761358102570426
random,4,0.005,4997.0,3.0,0,-73.95502366812906,40.69186082799967
random,4,0.005,4997.0,3.0,1,-73.96970095663468,40.768952076002165
random,4,0.005,4997.0,3.0,2,-73.91668837754364,40.795553209507375
random,4,0.005,4997.0,3.0,3,-73.99439837882588,40.72769907135398
random,4,0.005,4997.0,4.0,0,-73.96978847556099,40.76957959144677
random,4,0.005,4997.0,4.0,1,-73.99455946454384,40.728997549539784
random,4,0.005,4997.0,4.0,2,-73.95609695221019,40.69154787121467
random,4,0.005,4997.0,4.0,3,-73.91884257542242,40.79493396400112
lightweight,4,0.01,9993.0,0.0,0,-73.9706051325444,40.76854432561385
lightweight,4,0.01,9993.0,0.0,1,-73.9943666153095,40.72850645816596
lightweight,4,0.01,9993.0,0.0,2,-73.95553231208851,40.69174479810534
lightweight,4,0.01,9993.0,0.0,3,-73.91999630483735,40.795394210509784
lightweight,4,0.01,9993.0,1.0,0,-73.95324174595406,40.69357036951641
lightweight,4,0.01,9993.0,1.0,1,-73.99544216284283,40.72118534114744
lightweight,4,0.01,9993.0,1.0,2,-73.97825370359203,40.76189367148686
lightweight,4,0.01,9993.0,1.0,3,-73.92639303586974,40.79509846617017
lightweight,4,0.01,9993.0,2.0,0,-73.9940990955595,40.730063170168
lightweight,4,0.01,9993.0,2.0,1,-73.96851700807527,40.77086269209343
lightweight,4,0.01,9993.0,2.0,2,-73.95678728160073,40.6913332011547
lightweight,4,0.01,9993.0,2.0,3,-73.9188617196921,40.79686442977163
lightweight,4,0.01,9993.0,3.0,0,-73.99442500561743,40.7265193819301
lightweight,4,0.01,9993.0,3.0,1,-73.97207872333712,40.76832068678595
lightweight,4,0.01,9993.0,3.0,2,-73.9551855374031,40.69149974363654
lightweight,4,0.01,9993.0,3.0,3,-73.92149108777178,40.796960155479574
lightweight,4,0.01,9993.0,4.0,0,-73.97704181464566,40.762172693061075
lightweight,4,0.01,9993.0,4.0,1,-73.95644812766257,40.69075482721605
lightweight,4,0.01,9993.0,4.0,2,-73.92689048283472,40.79392726799013
lightweight,4,0.01,9993.0,4.0,3,-73.99592995428323,40.72415043009226
random,4,0.01,9993.0,0.0,0,-73.95497409749112,40.69172707693411
random,4,0.01,9993.0,0.0,1,-73.99497764336644,40.725058241478536
random,4,0.01,9993.0,0.0,2,-73.97524563266732,40.76385120114884
random,4,0.01,9993.0,0.0,3,-73.92589068806907,40.79700175740743
random,4,0.01,9993.0,1.0,0,-73.95657385143733,40.692187857524544
