algo,k,frac,m,seed,center_idx,R,G,B
full,64,,,,2,161.72568168632705,123.05917617482116,112.54505898278856
full,64,,,,3,32.48983792968245,57.31319435368039,38.498594954907325
full,64,,,,4,118.19098346183281,126.67382732034612,88.41162968630451
full,64,,,,5,156.19128905441758,154.5176908752328,151.75625905234835
full,64,,,,6,38.60908759314241,28.509509665989142,23.514043041008577
full,64,,,,7,93.23436900652086,66.56629587009337,55.04257767548888
full,64,,,,8,115.33073005093377,136.3971703452179,150.64629315223536
full,64,,,,9,161.45326354021944,144.24660826834753,107.93355410746707
full,64,,,,10,90.90141187926,91.55732716650438,94.11721032132424
full,64,,,,11,80.4568542107576,100.05322844707105,56.23479615062085
full,64,,,,12,169.8438518264449,166.06225347281753,169.34616703824398
full,64,,,,13,136.44164378187514,112.70076500588466,81.72901137701061
full,64,,,,14,195.26133385928844,203.38020906708493,209.6227494294336
full,64,,,,15,61.48669480638671,48.658897657062404,40.87312656756589
full,64,,,,16,38.94087830732283,66.67055062465701,41.4671476044255
full,64,,,,17,120.80770615772416,121.48253510983075,124.76581442803985
full,64,,,,18,124.75166434432586,73.5294937296796,57.10775661867159
full,64,,,,19,17.930233739838343,12.064532520324903,10.808231707317077
full,64,,,,20,184.18828949323836,160.19378808143856,146.93357111012034
full,64,,,,21,80.30422677803087,105.17590483421918,123.7491774234371
full,64,,,,22,65.48751367116265,61.33503463361287,58.188570907765154
full,64,,,,23,166.3470125861977,176.04735496937818,185.56459468582727
full,64,,,,24,71.34867562957763,95.57088391692598,42.067974315240335
full,64,,,,25,55.54142729870037,82.68080857730949,47.74741175386279
full,64,,,,26,151.95581153195377,136.3069764414941,91.30508915788104
full,64,,,,27,108.78762811508228,118.13849435513242,72.92315696373753
full,64,,,,28,132.68633402896333,138.94890280149215,100.92126731170546
full,64,,,,29,81.18549139885332,53.666355514068194,43.244832644352506
full,64,,,,30,178.95423480595645,185.65377105198934,193.94414612318053
full,64,,,,31,56.13137216953767,77.98134313915244,32.62635958970458
full,64,,,,32,25.0574343097568,22.198459950781825,22.850400889100655
full,64,,,,33,67.15073365940401,35.99836964576858,18.967096487327666
full,64,,,,34,106.7065832230112,105.75075219641353,109.0186544710555
full,64,,,,35,219.23204419889606,225.16637368156654,226.00012556504197
full,64,,,,36,171.02056104558318,152.34055892041252,122.12134735947296
full,64,,,,37,32.140603003284895,33.76918113561729,38.118137024871025
full,64,,,,38,46.1932736683737,75.05754863714017,44.010097146791296
full,64,,,,39,151.04403179292407,164.58781740170207,175.54624745023565
full,64,,,,40,79.91826449632154,105.65585355963621,43.6618200776227
full,64,,,,41,153.79708768597646,110.75815131370686,98.218819246597
full,64,,,,42,141.05725103258405,97.02937127122534,90.99013308857273
full,64,,,,43,133.73026190021022,151.0989294589944,163.72041674632004
full,64,,,,44,120.55139385275204,93.88784846318796,74.49177984274482
full,64,,,,45,174.96511273613677,137.6192870201097,127.93266301035942
full,64,,,,46,199.03165330797447,193.3019970112756,189.6857763890776
full,64,,,,47,145.7973980412218,91.57184622131265,69.52828533840085
full,64,,,,48,145.99181537635883,150.94646451093513,116.24795384408954
full,64,,,,49,55.54030831437945,73.36365933788224,92.91609805408137
full,64,,,,50,187.01234060057607,177.75174825174838,174.95711641299886
full,64,,,,51,66.73580002474918,88.80732582601163,109.19428288578146
full,64,,,,52,133.0441551089725,131.31502971978486,75.27408246060938
full,64,,,,53,104.25629420084866,80.74858557284301,65.59108910891085
full,64,,,,54,138.96573289902273,138.0639739413681,138.12390879478824
full,64,,,,55,47.68266863613906,39.18434268833113,34.3818808468735
full,64,,,,56,106.60295504558314,53.94309965419692,21.53002200565855
full,64,,,,57,42.522694598480136,46.872253029369496,53.94968165947823
full,64,,,,58,65.87613363563605,90.24569885302752,53.076987196585556
full,64,,,,59,95.5758566570756,121.51033219984306,138.05689249280667
full,64,,,,60,74.71537066424844,75.94207662661529,78.06336431648154
full,64,,,,61,48.1198056646684,59.529873888774134,74.01860657432294
full,64,,,,62,204.9337798559318,210.6227726525968,214.00307510847193
full,64,,,,63,94.70997973657552,108.36717325227964,63.39584599797342
lightweight,2,0.0025,2621.0,0.0,0,66.94454596218705,74.06882378722264,50.01147392157537
lightweight,2,0.0025,2621.0,0.0,1,165.49889773038774,163.964852811708,156.54444352520312
lightweight,2,0.0025,2621.0,1.0,0,66.65059657790249,74.11341816144827,50.93986143884825
lightweight,2,0.0025,2621.0,1.0,1,165.71583702375148,164.23807638692296,157.0459709775729
lightweight,2,0.0025,2621.0,2.0,0,64.76527395266268,73.83719401041587,50.303658429131964
lightweight,2,0.0025,2621.0,2.0,1,163.94840106967888,162.37470738187122,154.63862445168596
lightweight,2,0.0025,2621.0,3.0,0,66.70574160340436,74.98081112209702,52.044474651128894
lightweight,2,0.0025,2621.0,3.0,1,166.8644011989419,164.75669171529705,156.11667722351234
lightweight,2,0.0025,2621.0,4.0,0,68.1916112734545,75.4091284598178,51.69118643186072
