algo,k,frac,m,seed,r1,r2,r3
lightweight,4,0.01,10000,2,1.0005647234875767,0.9983203631963434,1.0009579717533719
lightweight,4,0.01,10000,3,1.006111342937494,1.0047033627790198,1.0007945052580483
lightweight,4,0.01,10000,4,0.9951317084024424,0.9934240038619662,1.0009906659050865
random,4,0.01,10000,0,1.0009340981095063,1.00017767062656,1.0003928036289673
random,4,0.01,10000,1,0.9983801752960092,0.9973762232196223,1.0005973714574692
random,4,0.01,10000,2,1.0121890515206908,1.0117736508237392,1.0001550790792797
random,4,0.01,10000,3,1.0087447967622911,1.0078560153156457,1.000447666374116
random,4,0.01,10000,4,0.9864452362745897,0.9855117315478473,1.0003615321084416
lightweight,4,0.05,50000,0,1.00100311376159,1.0005350423928276,1.0001874073570434
lightweight,4,0.05,50000,1,1.0003257201414657,1.0000008992447194,1.0000826820626785
lightweight,4,0.05,50000,2,1.0037647415845476,1.0032779111350336,1.0002122203559718
lightweight,4,0.05,50000,3,0.9996098449828148,0.999354829100112,1.0002167489519822
lightweight,4,0.05,50000,4,1.0016856181070999,1.001587050908724,1.0000427278175248
random,4,0.05,50000,0,1.0009375033917316,1.000796000194286,1.0001153112256511
random,4,0.05,50000,1,1.0009984953723976,1.0005922744622675,1.000217079552599
random,4,0.05,50000,2,0.9981205461068257,0.9979380137930115,1.000047373136469
random,4,0.05,50000,3,1.003372075804981,1.002837889416915,1.0002333596761066
random,4,0.05,50000,4,0.9991394708547258,0.9989852902741402,1.000026416992058
lightweight,4,0.1,100000,0,1.0013435261238708,1.0012662348057348,1.000006387936133
lightweight,4,0.1,100000,1,0.9985138267097566,0.9984152951428606,1.0000755464365259
lightweight,4,0.1,100000,2,1.0038741232839576,1.0037906022606484,0.9999773689874305
lightweight,4,0.1,100000,3,1.000033008874139,0.9999761399520243,1.0000129435632885
lightweight,4,0.1,100000,4,1.0009135199504744,1.0008969504193432,1.000008858151386
random,4,0.1,100000,0,1.0013748272700098,1.0013662023208945,1.0000222382150135
random,4,0.1,100000,1,1.000607276270023,1.0005666811850265,1.0000203547050428
random,4,0.1,100000,2,0.9992199985337717,0.9991816171850434,0.9999735517687073
random,4,0.1,100000,3,1.0015113536675384,1.00125495054984,1.0000491491692347
random,4,0.1,100000,4,1.0016677262407139,1.0015820295352416,1.0001072056064404
lightweight,4,0.25,250000,0,0.9983673024831452,0.9983580494209345,1.0000005735159883
lightweight,4,0.25,250000,1,0.9977188849054575,0.9975108745413456,1.0001349416617926
lightweight,4,0.25,250000,2,1.0038890094152466,1.0038321148057388,0.9999913467545882
lightweight,4,0.25,250000,3,0.9984512942687837,0.9983220087986302,1.0000633825027592
lightweight,4,0.25,250000,4,0.9993510539288724,0.9993107115774604,1.0000485650179116
random,4,0.25,250000,0,0.9992899542635555,0.9991353117248367,1.0001266637937587
random,4,0.25,250000,1,0.9991090318097566,0.9989809918161636,1.000156159666707
random,4,0.25,250000,2,0.9988244686451266,0.9987650440020116,0.9999786796052728
random,4,0.25,250000,3,1.0007776357760063,1.00073575415225,1.000028354847389
