algo,k,frac,m,seed,center_idx,x,y
lightweight,4,0.0025,2500.0,0.0,0,7.5668803695550935,-1.2765485741376459
lightweight,4,0.0025,2500.0,0.0,1,-0.2473123832325852,16.181028686838992
lightweight,4,0.0025,2500.0,0.0,2,18.117261958244406,18.170494512570986
lightweight,4,0.0025,2500.0,0.0,3,-6.704437210238942,-2.5469332910117615
lightweight,4,0.0025,2500.0,1.0,0,-0.3514008766376895,15.697962287523387
lightweight,4,0.0025,2500.0,1.0,1,-6.458804114877611,-3.6210016467276915
lightweight,4,0.0025,2500.0,1.0,2,18.066480658972605,18.153552476238787
lightweight,4,0.0025,2500.0,1.0,3,7.451587108013063,-0.8085054503860336
lightweight,4,0.0025,2500.0,2.0,0,-0.006113557920881085,14.617079777661427
lightweight,4,0.0025,2500.0,2.0,1,7.1055654021735855,-2.95969181307232
lightweight,4,0.0025,2500.0,2.0,2,17.858397154801818,17.87785635604886
lightweight,4,0.0025,2500.0,2.0,3,-7.111481563555947,-2.9503780261850707
lightweight,4,0.0025,2500.0,3.0,0,7.355093151174007,-2.115044023111791
lightweight,4,0.0025,2500.0,3.0,1,-6.953555096695978,-2.6384898040519733
lightweight,4,0.0025,2500.0,3.0,2,-0.38053745158671326,15.590277839795279
lightweight,4,0.0025,2500.0,3.0,3,18.02234828526687,18.192820457704226
lightweight,4,0.0025,2500.0,4.0,0,-6.733096100054355,-3.2237628707137134
lightweight,4,0.0025,2500.0,4.0,1,18.09299986924093,18.114595065591118
lightweight,4,0.0025,2500.0,4.0,2,-0.5208750175256958,15.306024127177928
lightweight,4,0.0025,2500.0,4.0,3,7.274604607215787,-1.7117426023642555
random,4,0.0025,2500.0,0.0,0,18.202656429916722,18.18290196624714
random,4,0.0025,2500.0,0.0,1,7.3703463325399206,-2.2623801882979837
random,4,0.0025,2500.0,0.0,2,0.1300427212176345,15.471838860606987
random,4,0.0025,2500.0,0.0,3,-6.722571798944322,-2.999303416554012
random,4,0.0025,2500.0,1.0,0,-7.562191487918359,-1.436662240618741
random,4,0.0025,2500.0,1.0,1,17.826467725418002,18.16222868836231
random,4,0.0025,2500.0,1.0,2,6.578014072286321,-3.3220422696705327
random,4,0.0025,2500.0,1.0,3,0.441918678668757,15.347148329055916
random,4,0.0025,2500.0,2.0,0,0.037828401918894805,14.896467483597698
random,4,0.0025,2500.0,2.0,1,17.89120426471785,17.977910315074432
random,4,0.0025,2500.0,2.0,2,-7.146468814769194,-2.9225801440224277
random,4,0.0025,2500.0,2.0,3,7.083466913110186,-2.2479008805521197
random,4,0.0025,2500.0,3.0,0,-6.994036927865774,-1.6592465374470589
random,4,0.0025,2500.0,3.0,1,18.075937265257217,17.923826387930927
random,4,0.0025,2500.0,3.0,2,6.756970482104649,-2.4979102522945187
random,4,0.0025,2500.0,3.0,3,0.03520474554978659,16.44868480736657
random,4,0.0025,2500.0,4.0,0,-7.162865944255784,-3.187122087297581
random,4,0.0025,2500.0,4.0,1,0.08277411614876318,14.836664710731247
random,4,0.0025,2500.0,4.0,2,7.255900750739065,-2.7697214159230743
random,4,0.0025,2500.0,4.0,3,17.9435602423534,17.996060730260858
lightweight,4,0.005,5000.0,0.0,0,7.488049296822887,-1.5634056678410744
lightweight,4,0.005,5000.0,0.0,1,18.12180696850448,18.16240604304197
lightweight,4,0.005,5000.0,0.0,2,-6.8055487910510175,-2.6354841889992215
lightweight,4,0.005,5000.0,0.0,3,-0.32160491833158034,15.885547623748431
lightweight,4,0.005,5000.0,1.0,0,6.840503306860475,-2.6993671533479286
lightweight,4,0.005,5000.0,1.0,1,18.080967092069745,18.093985191943567
lightweight,4,0.005,5000.0,1.0,2,-7.229035455550213,-2.5560840467436403
lightweight,4,0.005,5000.0,1.0,3,0.12024186690731486,15.11079553526036
lightweight,4,0.005,5000.0,2.0,0,-0.08665447302795481,14.697219283609105
lightweight,4,0.005,5000.0,2.0,1,6.997087401561222,-3.1392362572775276
lightweight,4,0.005,5000.0,2.0,2,18.050857119024204,17.923347145039006
lightweight,4,0.005,5000.0,2.0,3,-7.1881677165842435,-2.8196682991877733
lightweight,4,0.005,5000.0,3.0,0,7.25280125209688,-2.202950089096607
lightweight,4,0.005,5000.0,3.0,1,-7.018051500118053,-2.452700428201066
lightweight,4,0.005,5000.0,3.0,2,18.03280979716933,17.966380845831612
lightweight,4,0.005,5000.0,3.0,3,-0.17745234778605745,15.782461457833028
lightweight,4,0.005,5000.0,4.0,0,17.99592121909246,18.030847080957486
lightweight,4,0.005,5000.0,4.0,1,-7.2242277392533785,-2.0976050659410426
lightweight,4,0.005,5000.0,4.0,2,6.940045042109039,-2.7601177605432525
lightweight,4,0.005,5000.0,4.0,3,-0.13099745860793988,15.669218229004482
random,4,0.005,5000.0,0.0,0,7.378856140412789,-2.2286114283464418
random,4,0.005,5000.0,0.0,1,18.080772055243024,18.01972393816518
random,4,0.005,5000.0,0.0,2,0.18933668960779393,15.19687867897796
random,4,0.005,5000.0,0.0,3,-6.803723618946656,-2.9994636778635986
random,4,0.005,5000.0,1.0,0,17.919357509026057,17.969187236427388
