algo,k,frac,m,seed,r1,r2,r3
random,8,0.25,152950,0,1.004633213753172,1.0043293339724002,1.0002127298960684
random,8,0.25,152950,1,1.0049830014832712,1.0044162529738998,1.0004642617365544
random,8,0.25,152950,2,1.0021132236975725,1.0016051466098554,1.0005009382117194
random,8,0.25,152950,3,1.002066514560193,1.0012850820334753,1.0003115547194732
random,8,0.25,152950,4,1.000743246957807,1.0005412052008793,1.0000576419650045
lightweight,8,0.5,305900,0,0.9966754003335625,0.9964551461681362,1.0001142789798938
lightweight,8,0.5,305900,1,0.9988861668396084,0.9987620518904698,1.0002835443509699
lightweight,8,0.5,305900,2,1.0027934842141284,1.002659832764598,1.0002673500523414
lightweight,8,0.5,305900,3,1.0014737161372838,1.0013293826348089,1.0000826328252814
lightweight,8,0.5,305900,4,1.0033308588252297,1.0020910619905756,1.0087646001328472
random,8,0.5,305900,0,1.0057498421027524,1.0056677761522452,1.0000200387703904
random,8,0.5,305900,1,1.002820179733521,1.0027279943084872,1.0001587845285083
random,8,0.5,305900,2,1.0002956723710694,1.0002527137977126,1.000177856342989
random,8,0.5,305900,3,1.0004921433418197,1.0003700677873055,1.0000306014458937
random,8,0.5,305900,4,1.0004519185288208,1.0003716064634514,1.0001395256391707
lightweight,16,0.0025,1530,0,1.0154228792292859,0.9652781262801765,1.0478185978130115
lightweight,16,0.0025,1530,1,0.9872756689601855,0.9365804014725558,1.0185320094418395
lightweight,16,0.0025,1530,2,0.9988942032559938,0.881003703995446,1.0493256806968339
lightweight,16,0.0025,1530,3,1.0234558556222086,0.9765768217283952,1.0194860101098864
lightweight,16,0.0025,1530,4,0.9865134127441663,0.9201409511353149,1.0323599557550762
random,16,0.0025,1530,0,1.0151662487494872,0.9280598690002522,1.0511695382197697
random,16,0.0025,1530,1,1.0235023478804206,0.9568565024761044,1.0371374445006805
random,16,0.0025,1530,2,0.9458627581709209,0.8516581055039004,1.083863035607167
random,16,0.0025,1530,3,0.9910262494734176,0.9251606134109204,1.0388926442420736
random,16,0.0025,1530,4,1.0103874431140274,0.934794657803629,1.0713437142211495
lightweight,16,0.005,3059,0,1.0172134727518902,0.9738618977056338,1.042132136158025
lightweight,16,0.005,3059,1,0.9997903876012716,0.97534353418856,1.0089205809097386
lightweight,16,0.005,3059,2,0.9794194546500423,0.9478040478274077,1.0103329632444162
lightweight,16,0.005,3059,3,1.0029898517936038,0.9865052106725488,1.0098449689081899
lightweight,16,0.005,3059,4,0.9817223928876077,0.9693468073262128,1.0063053779235915
random,16,0.005,3059,0,0.9927253710731535,0.932875686604445,1.0272237599015108
random,16,0.005,3059,1,1.013976691363474,0.9867845657597785,1.0080074520261275
random,16,0.005,3059,2,0.9980489971722556,0.9393740030184388,1.0802536827201634
random,16,0.005,3059,3,1.02279435976994,0.9901093662055254,1.015274520341277
random,16,0.005,3059,4,1.0052092517584006,0.9743063569118077,1.0111076461475061
lightweight,16,0.01,6118,0,0.9921823296476571,0.9822107891301377,1.0006818142699332
lightweight,16,0.01,6118,1,1.0145489910446739,1.002701165921803,1.00412561934185
lightweight,16,0.01,6118,2,0.9964390015579732,0.9730610882353576,1.0264037280057365
lightweight,16,0.01,6118,3,0.9747104647374588,0.9636536694962001,1.0163687656970384
lightweight,16,0.01,6118,4,0.9901384185113091,0.9708328658080759,1.019703385719947
random,16,0.01,6118,0,1.0051285321456143,0.9884470256888707,1.0076324165138157
random,16,0.01,6118,1,1.0296359727611064,1.010931648576326,1.0026596981441485
random,16,0.01,6118,2,1.010461695798012,0.9901143635918437,1.0113484758188374
random,16,0.01,6118,3,1.0218355231579215,1.0021271282883484,1.0051602724124646
random,16,0.01,6118,4,0.9987052909252105,0.975837753872021,1.0029801022236458
lightweight,16,0.05,30590,0,1.0010372107717393,0.9985370143711073,0.996319215802313
lightweight,16,0.05,30590,1,0.9964792624015741,0.9972620699955712,0.9969135412871538
lightweight,16,0.05,30590,2,1.000069436238167,0.9938748366669864,0.9978047614842699
lightweight,16,0.05,30590,3,1.0017207417967124,0.9936337350161891,1.014014423920088
lightweight,16,0.05,30590,4,1.0011401503932915,1.0008976998940555,0.9961689866036074
random,16,0.05,30590,0,1.003274957936651,0.9976623687445293,1.0101546271690318
random,16,0.05,30590,1,1.0048390778304819,1.0020556247336996,0.9995474135540209
random,16,0.05,30590,2,1.0073748874380282,1.000801464420788,0.9974273931265606
random,16,0.05,30590,3,1.0028857995318403,0.9952107607314366,1.0132855285591742
random,16,0.05,30590,4,0.9948464201981995,0.9869435257139201,1.0100244836215653
lightweight,16,0.1,61180,0,1.0022101878980807,0.9994900003188391,1.0131581376203922
