algo,k,frac,m,seed,center_idx,Lon,Lat
random,2,0.05,37113.0,1.0,0,-73.96396114221724,40.76633548587782
random,2,0.05,37113.0,1.0,1,-73.99048261799516,40.723412472075665
random,2,0.05,37113.0,2.0,0,-73.99005188546172,40.7234586561971
random,2,0.05,37113.0,2.0,1,-73.96359480593247,40.76636066898075
random,2,0.05,37113.0,3.0,0,-73.99004627895981,40.72350173522459
random,2,0.05,37113.0,3.0,1,-73.96373164818642,40.76619602205099
random,2,0.05,37113.0,4.0,0,-73.99017458211965,40.7249505489581
random,2,0.05,37113.0,4.0,1,-73.9610593796459,40.76719053926206
lightweight,2,0.1,74226.0,0.0,0,-73.96303346671493,40.76663878619417
lightweight,2,0.1,74226.0,0.0,1,-73.99019669766886,40.72370161458563
lightweight,2,0.1,74226.0,1.0,0,-73.9903930804814,40.72362393289092
lightweight,2,0.1,74226.0,1.0,1,-73.96322086102518,40.766321973184965
lightweight,2,0.1,74226.0,2.0,0,-73.99037217403814,40.723324015755914
lightweight,2,0.1,74226.0,2.0,1,-73.96357494560766,40.76643527652289
lightweight,2,0.1,74226.0,3.0,0,-73.96346411051451,40.7665560366184
lightweight,2,0.1,74226.0,3.0,1,-73.99031503250359,40.72380326165486
lightweight,2,0.1,74226.0,4.0,0,-73.99047778624285,40.723715356910816
lightweight,2,0.1,74226.0,4.0,1,-73.96336597603674,40.76624797011354
random,2,0.1,74226.0,0.0,0,-73.96329199708177,40.766498753409884
random,2,0.1,74226.0,0.0,1,-73.99034656440281,40.72357034426229
random,2,0.1,74226.0,1.0,0,-73.99030210822706,40.72339605328538
random,2,0.1,74226.0,1.0,1,-73.96371132246661,40.76634149485343
random,2,0.1,74226.0,2.0,0,-73.99025807013825,40.723411107185754
random,2,0.1,74226.0,2.0,1,-73.96356607170964,40.76621637863192
random,2,0.1,74226.0,3.0,0,-73.99029128430658,40.72362530749512
random,2,0.1,74226.0,3.0,1,-73.96317165746727,40.76619009304526
random,2,0.1,74226.0,4.0,0,-73.99031365947948,40.724372938767054
random,2,0.1,74226.0,4.0,1,-73.96215913419351,40.766677087328155
lightweight,2,0.25,185566.0,0.0,0,-73.96314748855315,40.76660805389339
lightweight,2,0.25,185566.0,0.0,1,-73.99025444867698,40.72380728953649
lightweight,2,0.25,185566.0,1.0,0,-73.99032732182869,40.7234325443238
lightweight,2,0.25,185566.0,1.0,1,-73.96353806158733,40.76638549319418
lightweight,2,0.25,185566.0,2.0,0,-73.96358974802868,40.766488166779496
lightweight,2,0.25,185566.0,2.0,1,-73.99036086608906,40.723381018111546
lightweight,2,0.25,185566.0,3.0,0,-73.96348275599928,40.766403153289914
lightweight,2,0.25,185566.0,3.0,1,-73.99033728013137,40.72352439365317
lightweight,2,0.25,185566.0,4.0,0,-73.99038029264233,40.72365847011061
lightweight,2,0.25,185566.0,4.0,1,-73.96335372795195,40.76629495401839
random,2,0.25,185566.0,0.0,0,-73.9633632308178,40.766502595516265
random,2,0.25,185566.0,0.0,1,-73.99041395324792,40.72347624893083
random,2,0.25,185566.0,1.0,0,-73.96366297606163,40.766556751076095
random,2,0.25,185566.0,1.0,1,-73.99024054395356,40.72336109582328
random,2,0.25,185566.0,2.0,0,-73.96336530998461,40.7664558186773
random,2,0.25,185566.0,2.0,1,-73.99025512680615,40.723445142233594
random,2,0.25,185566.0,3.0,0,-73.96352975337003,40.76634817741203
random,2,0.25,185566.0,3.0,1,-73.99029301284584,40.723421264270534
random,2,0.25,185566.0,4.0,0,-73.990383344,40.72362184658823
random,2,0.25,185566.0,4.0,1,-73.9632310391346,40.7662966828887
lightweight,2,0.5,371132.0,0.0,0,-73.96348575407589,40.766486116591246
lightweight,2,0.5,371132.0,0.0,1,-73.99027231423614,40.72349552008217
lightweight,2,0.5,371132.0,1.0,0,-73.990308912556,40.72349959892619
lightweight,2,0.5,371132.0,1.0,1,-73.96343331992438,40.7664653016715
lightweight,2,0.5,371132.0,2.0,0,-73.99036773532602,40.72342618916544
lightweight,2,0.5,371132.0,2.0,1,-73.96350905205777,40.76648048856727
lightweight,2,0.5,371132.0,3.0,0,-73.96354805623947,40.766404068653394
lightweight,2,0.5,371132.0,3.0,1,-73.9903273062698,40.72346605962016
lightweight,2,0.5,371132.0,4.0,0,-73.99027275914673,40.72348284026918
lightweight,2,0.5,371132.0,4.0,1,-73.96355404337004,40.76639311350715
random,2,0.5,371132.0,0.0,0,-73.96342165406708,40.7664782431606
random,2,0.5,371132.0,0.0,1,-73.99037843635456,40.72344812190337
random,2,0.5,371132.0,1.0,0,-73.99033017431245,40.72352787163752
random,2,0.5,371132.0,1.0,1,-73.96355864977306,40.766536954740296
random,2,0.5,371132.0,2.0,0,-73.99035691027446,40.72349633999972
random,2,0.5,371132.0,2.0,1,-73.9634569889017,40.76647924032444
random,2,0.5,371132.0,3.0,0,-73.99038815843183,40.72356602405004
random,2,0.5,371132.0,3.0,1,-73.96329842018316,40.766414751286455
random,2,0.5,371132.0,4.0,0,-73.9629685399079,40.76662485354311
random,2,0.5,371132.0,4.0,1,-73.99036376343285,40.723854973646475
lightweight,4,0.0025,1856.0,0.0,0,-73.99768581798334,40.730255920293544
lightweight,4,0.0025,1856.0,0.0,1,-73.9615220022859,40.695219474539336
lightweight,4,0.0025,1856.0,0.0,2,-73.97299793885031,40.76532973423161
lightweight,4,0.0025,1856.0,0.0,3,-73.88844728151219,40.7687892187077
lightweight,4,0.0025,1856.0,1.0,0,-73.9962006315175,40.733608715039146
lightweight,4,0.0025,1856.0,1.0,1,-73.97059723561499,40.76845421991199
lightweight,4,0.0025,1856.0,1.0,2,-73.96501037738952,40.69293462278818
lightweight,4,0.0025,1856.0,1.0,3,-73.88106236225623,40.76584266246004
lightweight,4,0.0025,1856.0,2.0,0,-73.99778159946725,40.72988857334157
lightweight,4,0.0025,1856.0,2.0,1,-73.97296317078278,40.765456319943674
lightweight,4,0.0025,1856.0,2.0,2,-73.88637262722104,40.76830402351221
lightweight,4,0.0025,1856.0,2.0,3,-73.96097992841872,40.695482197790845
lightweight,4,0.0025,1856.0,3.0,0,-73.96423794451215,40.69566837134026
lightweight,4,0.0025,1856.0,3.0,1,-73.97368975176407,40.76540105685732
lightweight,4,0.0025,1856.0,3.0,2,-73.88568266675593,40.76666256638453
lightweight,4,0.0025,1856.0,3.0,3,-73.99752829043926,40.7313729489601
lightweight,4,0.0025,1856.0,4.0,0,-73.96490495182866,40.69539975219535
lightweight,4,0.0025,1856.0,4.0,1,-73.9979880052536,40.73130569682848
lightweight,4,0.0025,1856.0,4.0,2,-73.97269577761485,40.764171842422535
lightweight,4,0.0025,1856.0,4.0,3,-73.8840715212398,40.77027719749895
random,4,0.0025,1856.0,0.0,0,-73.9971434730539,40.731511976047905
random,4,0.0025,1856.0,0.0,1,-73.97268231197772,40.76712325905292
random,4,0.0025,1856.0,0.0,2,-73.88461449275363,40.76805652173913
random,4,0.0025,1856.0,0.0,3,-73.96328034188033,40.693053846153845
random,4,0.0025,1856.0,1.0,0,-73.97203410641201,40.76625934515689
random,4,0.0025,1856.0,1.0,1,-73.96334331797235,40.694458986175114
